Type,Model,GPU,Run,Metric,Value
Local,Mistral-7B-Instruct-v0.3,A100-40GB,1,CO2eq,117.628141
Local,Mistral-7B-Instruct-v0.3,A100-40GB,2,CO2eq,114.876178
Local,Mistral-7B-Instruct-v0.3,A100-40GB,3,CO2eq,115.74179
Local,Mistral-7B-Instruct-v0.3,A100-40GB,4,CO2eq,112.923905
Local,Mistral-7B-Instruct-v0.3,A100-40GB,5,CO2eq,119.295413
Local,Mistral-7B-Instruct-v0.3,A100-40GB,6,CO2eq,113.129228
Local,Mistral-7B-Instruct-v0.3,A100-40GB,7,CO2eq,115.723467
Local,Mistral-7B-Instruct-v0.3,A100-40GB,8,CO2eq,115.072616
Local,Mistral-7B-Instruct-v0.3,A100-40GB,9,CO2eq,111.614164
Local,Mistral-7B-Instruct-v0.3,A100-40GB,10,CO2eq,118.47282
Local,Mistral-7B-Instruct-v0.3,A100-40GB,1,Distance,1.094215
Local,Mistral-7B-Instruct-v0.3,A100-40GB,2,Distance,1.068616
Local,Mistral-7B-Instruct-v0.3,A100-40GB,3,Distance,1.076668
Local,Mistral-7B-Instruct-v0.3,A100-40GB,4,Distance,1.050455
Local,Mistral-7B-Instruct-v0.3,A100-40GB,5,Distance,1.109725
Local,Mistral-7B-Instruct-v0.3,A100-40GB,6,Distance,1.052365
Local,Mistral-7B-Instruct-v0.3,A100-40GB,7,Distance,1.076497
Local,Mistral-7B-Instruct-v0.3,A100-40GB,8,Distance,1.070443
Local,Mistral-7B-Instruct-v0.3,A100-40GB,9,Distance,1.038271
Local,Mistral-7B-Instruct-v0.3,A100-40GB,10,Distance,1.102073
Local,Mistral-7B-Instruct-v0.3,A100-40GB,1,Energy,0.308775
Local,Mistral-7B-Instruct-v0.3,A100-40GB,2,Energy,0.301551
Local,Mistral-7B-Instruct-v0.3,A100-40GB,3,Energy,0.303824
Local,Mistral-7B-Instruct-v0.3,A100-40GB,4,Energy,0.296427
Local,Mistral-7B-Instruct-v0.3,A100-40GB,5,Energy,0.313152
Local,Mistral-7B-Instruct-v0.3,A100-40GB,6,Energy,0.296966
Local,Mistral-7B-Instruct-v0.3,A100-40GB,7,Energy,0.303776
Local,Mistral-7B-Instruct-v0.3,A100-40GB,8,Energy,0.302067
Local,Mistral-7B-Instruct-v0.3,A100-40GB,9,Energy,0.292989
Local,Mistral-7B-Instruct-v0.3,A100-40GB,10,Energy,0.310993
Local,Mistral-7B-Instruct-v0.3,A100-40GB,1,Time,00:40:55
Local,Mistral-7B-Instruct-v0.3,A100-40GB,2,Time,00:40:47
Local,Mistral-7B-Instruct-v0.3,A100-40GB,3,Time,00:40:54
Local,Mistral-7B-Instruct-v0.3,A100-40GB,4,Time,00:40:51
Local,Mistral-7B-Instruct-v0.3,A100-40GB,5,Time,00:40:38
Local,Mistral-7B-Instruct-v0.3,A100-40GB,6,Time,00:40:48
Local,Mistral-7B-Instruct-v0.3,A100-40GB,7,Time,00:40:49
Local,Mistral-7B-Instruct-v0.3,A100-40GB,8,Time,00:40:58
Local,Mistral-7B-Instruct-v0.3,A100-40GB,9,Time,00:40:38
Local,Mistral-7B-Instruct-v0.3,A100-40GB,10,Time,00:40:30
Local,Mistral-7B-Instruct-v0.3,A100-80GB,1,CO2eq,120.202915
Local,Mistral-7B-Instruct-v0.3,A100-80GB,2,CO2eq,126.544969
Local,Mistral-7B-Instruct-v0.3,A100-80GB,3,CO2eq,117.99133
Local,Mistral-7B-Instruct-v0.3,A100-80GB,4,CO2eq,119.650661
Local,Mistral-7B-Instruct-v0.3,A100-80GB,5,CO2eq,119.07347
Local,Mistral-7B-Instruct-v0.3,A100-80GB,6,CO2eq,117.619162
Local,Mistral-7B-Instruct-v0.3,A100-80GB,7,CO2eq,119.409331
Local,Mistral-7B-Instruct-v0.3,A100-80GB,8,CO2eq,118.510805
Local,Mistral-7B-Instruct-v0.3,A100-80GB,9,CO2eq,118.868851
Local,Mistral-7B-Instruct-v0.3,A100-80GB,10,CO2eq,118.049054
Local,Mistral-7B-Instruct-v0.3,A100-80GB,1,Distance,1.118167
Local,Mistral-7B-Instruct-v0.3,A100-80GB,2,Distance,1.177163
Local,Mistral-7B-Instruct-v0.3,A100-80GB,3,Distance,1.097594
Local,Mistral-7B-Instruct-v0.3,A100-80GB,4,Distance,1.113029
