Type,Model,GPU,Run,Metric,Value
API,open-mistral-7b,N/A,1,CO2eq,0.0
API,open-mistral-7b,N/A,2,CO2eq,0.0
API,open-mistral-7b,N/A,3,CO2eq,0.0
API,open-mistral-7b,N/A,4,CO2eq,0.0
API,open-mistral-7b,N/A,5,CO2eq,0.0
API,open-mistral-7b,N/A,1,Distance,0.0
API,open-mistral-7b,N/A,2,Distance,0.0
API,open-mistral-7b,N/A,3,Distance,0.0
API,open-mistral-7b,N/A,4,Distance,0.0
API,open-mistral-7b,N/A,5,Distance,0.0
API,open-mistral-7b,N/A,1,Energy,0.0
API,open-mistral-7b,N/A,2,Energy,0.0
API,open-mistral-7b,N/A,3,Energy,0.0
API,open-mistral-7b,N/A,4,Energy,0.0
API,open-mistral-7b,N/A,5,Energy,0.0
API,open-mistral-7b,N/A,1,Time,00:12:30
API,open-mistral-7b,N/A,2,Time,00:11:19
API,open-mistral-7b,N/A,3,Time,00:11:15
API,open-mistral-7b,N/A,4,Time,00:13:41
API,open-mistral-7b,N/A,5,Time,00:12:01
API,open-mistral-nemo,N/A,1,CO2eq,0.0
API,open-mistral-nemo,N/A,2,CO2eq,0.0
API,open-mistral-nemo,N/A,3,CO2eq,0.0
API,open-mistral-nemo,N/A,4,CO2eq,0.0
API,open-mistral-nemo,N/A,5,CO2eq,0.0
API,open-mistral-nemo,N/A,1,Distance,0.0
API,open-mistral-nemo,N/A,2,Distance,0.0
API,open-mistral-nemo,N/A,3,Distance,0.0
API,open-mistral-nemo,N/A,4,Distance,0.0
API,open-mistral-nemo,N/A,5,Distance,0.0
API,open-mistral-nemo,N/A,1,Energy,0.0
API,open-mistral-nemo,N/A,2,Energy,0.0
API,open-mistral-nemo,N/A,3,Energy,0.0
API,open-mistral-nemo,N/A,4,Energy,0.0
API,open-mistral-nemo,N/A,5,Energy,0.0
API,open-mistral-nemo,N/A,1,Time,00:22:28
API,open-mistral-nemo,N/A,2,Time,00:24:24
API,open-mistral-nemo,N/A,3,Time,00:24:23
API,open-mistral-nemo,N/A,4,Time,00:22:13
API,open-mistral-nemo,N/A,5,Time,00:23:39
API,pixtral-12b-2409,N/A,1,CO2eq,0.0
API,pixtral-12b-2409,N/A,2,CO2eq,0.0
API,pixtral-12b-2409,N/A,3,CO2eq,0.0
API,pixtral-12b-2409,N/A,4,CO2eq,0.0
API,pixtral-12b-2409,N/A,5,CO2eq,0.0
API,pixtral-12b-2409,N/A,1,Distance,0.0
API,pixtral-12b-2409,N/A,2,Distance,0.0
API,pixtral-12b-2409,N/A,3,Distance,0.0
API,pixtral-12b-2409,N/A,4,Distance,0.0
API,pixtral-12b-2409,N/A,5,Distance,0.0
API,pixtral-12b-2409,N/A,1,Energy,0.0
API,pixtral-12b-2409,N/A,2,Energy,0.0
API,pixtral-12b-2409,N/A,3,Energy,0.0
API,pixtral-12b-2409,N/A,4,Energy,0.0
API,pixtral-12b-2409,N/A,5,Energy,0.0
API,pixtral-12b-2409,N/A,1,Time,00:16:20
API,pixtral-12b-2409,N/A,2,Time,00:16:29
API,pixtral-12b-2409,N/A,3,Time,00:16:46
API,pixtral-12b-2409,N/A,4,Time,00:16:42
API,pixtral-12b-2409,N/A,5,Time,00:15:53
