Type,Model,GPU,Run,Metric,Value
API,gpt-3.5-turbo,N/A,1,CO2eq,0.0
API,gpt-3.5-turbo,N/A,2,CO2eq,0.0
API,gpt-3.5-turbo,N/A,3,CO2eq,0.0
API,gpt-3.5-turbo,N/A,4,CO2eq,0.0
API,gpt-3.5-turbo,N/A,5,CO2eq,0.0
API,gpt-3.5-turbo,N/A,1,Distance,0.0
API,gpt-3.5-turbo,N/A,2,Distance,0.0
API,gpt-3.5-turbo,N/A,3,Distance,0.0
API,gpt-3.5-turbo,N/A,4,Distance,0.0
API,gpt-3.5-turbo,N/A,5,Distance,0.0
API,gpt-3.5-turbo,N/A,1,Energy,0.0
API,gpt-3.5-turbo,N/A,2,Energy,0.0
API,gpt-3.5-turbo,N/A,3,Energy,0.0
API,gpt-3.5-turbo,N/A,4,Energy,0.0
API,gpt-3.5-turbo,N/A,5,Energy,0.0
API,gpt-3.5-turbo,N/A,1,Time,00:03:05
API,gpt-3.5-turbo,N/A,2,Time,00:04:03
API,gpt-3.5-turbo,N/A,3,Time,00:03:03
API,gpt-3.5-turbo,N/A,4,Time,00:03:03
API,gpt-3.5-turbo,N/A,5,Time,00:03:03
API,gpt-4-turbo,N/A,1,CO2eq,0.0
API,gpt-4-turbo,N/A,2,CO2eq,0.0
API,gpt-4-turbo,N/A,3,CO2eq,0.0
API,gpt-4-turbo,N/A,4,CO2eq,0.0
API,gpt-4-turbo,N/A,5,CO2eq,0.0
API,gpt-4-turbo,N/A,1,Distance,0.0
API,gpt-4-turbo,N/A,2,Distance,0.0
API,gpt-4-turbo,N/A,3,Distance,0.0
API,gpt-4-turbo,N/A,4,Distance,0.0
API,gpt-4-turbo,N/A,5,Distance,0.0
API,gpt-4-turbo,N/A,1,Energy,0.0
API,gpt-4-turbo,N/A,2,Energy,0.0
API,gpt-4-turbo,N/A,3,Energy,0.0
API,gpt-4-turbo,N/A,4,Energy,0.0
API,gpt-4-turbo,N/A,5,Energy,0.0
API,gpt-4-turbo,N/A,1,Time,00:04:06
API,gpt-4-turbo,N/A,2,Time,00:05:03
API,gpt-4-turbo,N/A,3,Time,00:04:03
API,gpt-4-turbo,N/A,4,Time,00:06:04
API,gpt-4-turbo,N/A,5,Time,00:05:03
API,gpt-4o,N/A,1,CO2eq,0.0
API,gpt-4o,N/A,2,CO2eq,0.0
API,gpt-4o,N/A,3,CO2eq,0.0
API,gpt-4o,N/A,4,CO2eq,0.0
API,gpt-4o,N/A,5,CO2eq,0.0
API,gpt-4o,N/A,1,Distance,0.0
API,gpt-4o,N/A,2,Distance,0.0
API,gpt-4o,N/A,3,Distance,0.0
API,gpt-4o,N/A,4,Distance,0.0
API,gpt-4o,N/A,5,Distance,0.0
API,gpt-4o,N/A,1,Energy,0.0
API,gpt-4o,N/A,2,Energy,0.0
API,gpt-4o,N/A,3,Energy,0.0
API,gpt-4o,N/A,4,Energy,0.0
API,gpt-4o,N/A,5,Energy,0.0
API,gpt-4o,N/A,1,Time,00:06:08
API,gpt-4o,N/A,2,Time,00:04:05
API,gpt-4o,N/A,3,Time,00:04:03
API,gpt-4o,N/A,4,Time,00:04:04
API,gpt-4o,N/A,5,Time,00:04:03
API,gpt-4o-mini,N/A,1,CO2eq,0.0
API,gpt-4o-mini,N/A,2,CO2eq,0.0
API,gpt-4o-mini,N/A,3,CO2eq,0.0
API,gpt-4o-mini,N/A,4,CO2eq,0.0
API,gpt-4o-mini,N/A,5,CO2eq,0.0
API,gpt-4o-mini,N/A,1,Distance,0.0
API,gpt-4o-mini,N/A,2,Distance,0.0
API,gpt-4o-mini,N/A,3,Distance,0.0
API,gpt-4o-mini,N/A,4,Distance,0.0
API,gpt-4o-mini,N/A,5,Distance,0.0
API,gpt-4o-mini,N/A,1,Energy,0.0
API,gpt-4o-mini,N/A,2,Energy,0.0
API,gpt-4o-mini,N/A,3,Energy,0.0
API,gpt-4o-mini,N/A,4,Energy,0.0
API,gpt-4o-mini,N/A,5,Energy,0.0
API,gpt-4o-mini,N/A,1,Time,00:04:08
API,gpt-4o-mini,N/A,2,Time,00:04:04
API,gpt-4o-mini,N/A,3,Time,00:04:04
API,gpt-4o-mini,N/A,4,Time,00:04:03
API,gpt-4o-mini,N/A,5,Time,00:03:03
