model,tier,run_number,start_datetime,end_datetime,samples_processed,failed_calls,total_batch_time_seconds,total_api_time_seconds,avg_api_call_seconds,total_input_tokens,total_output_tokens,total_tokens,throughput_tokens_per_second,source_file
open-mistral-7b,free,1,2025-11-16 21:10:03,2025-11-16 21:20:34,100,0,631,631,6.32,8923,92918,101841,147.1,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,2,2025-11-16 21:50:34,2025-11-16 22:01:52,100,0,678,678,6.79,8923,98679,107602,145.4,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,3,2025-11-16 22:31:53,2025-11-16 22:42:33,100,0,640,640,6.41,8923,94760,103683,147.9,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,4,2025-11-16 23:12:34,2025-11-16 23:23:53,100,0,679,679,6.79,8923,99666,108589,146.7,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,5,2025-11-16 23:53:53,2025-11-17 00:04:24,99,1,632,631,6.37,8878,91675,100553,145.3,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,6,2025-11-17 00:34:26,2025-11-17 00:45:09,100,0,643,643,6.43,8923,95656,104579,148.8,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,7,2025-11-17 01:15:09,2025-11-17 01:26:35,100,0,686,686,6.87,8923,98642,107565,143.6,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,8,2025-11-17 01:56:36,2025-11-17 02:07:28,100,0,652,652,6.52,8923,96603,105526,148.1,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,9,2025-11-17 02:37:29,2025-11-17 02:47:58,100,0,629,629,6.30,8923,94122,103045,149.5,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,10,2025-11-17 03:17:58,2025-11-17 03:27:59,100,0,601,601,6.01,8923,89898,98821,149.6,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,11,2025-11-17 03:57:59,2025-11-17 04:08:40,100,0,641,641,6.42,8923,95105,104028,148.2,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,12,2025-11-17 04:38:41,2025-11-17 04:49:33,100,0,652,652,6.53,8923,94665,103588,145.0,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,13,2025-11-17 05:19:34,2025-11-17 05:31:03,100,0,689,689,6.90,8923,95185,104108,138.0,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,14,2025-11-17 06:01:04,2025-11-17 06:12:14,100,0,670,670,6.71,8923,98324,107247,146.5,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,15,2025-11-17 06:42:15,2025-11-17 06:53:47,100,0,692,692,6.93,8923,100416,109339,144.9,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,16,2025-11-17 07:23:48,2025-11-17 07:35:11,100,0,683,683,6.84,8923,98748,107671,144.5,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,17,2025-11-17 08:05:11,2025-11-17 08:16:06,100,0,655,655,6.56,8923,97967,106890,149.3,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,18,2025-11-17 08:46:07,2025-11-17 08:57:13,100,0,666,666,6.66,8923,94056,102979,141.2,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,19,2025-11-17 09:27:13,2025-11-17 09:39:09,100,0,716,716,7.16,8923,100181,109104,139.9,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,20,2025-11-17 10:09:10,2025-11-17 10:19:21,100,0,611,611,6.12,8923,91422,100345,149.5,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,21,2025-11-17 10:49:21,2025-11-17 11:00:09,100,0,648,648,6.48,8923,94436,103359,145.7,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,22,2025-11-17 11:30:10,2025-11-17 11:43:14,100,0,784,784,7.84,8923,114884,123807,146.5,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,23,2025-11-17 12:13:14,2025-11-17 12:24:51,100,0,697,697,6.97,8923,101616,110539,145.7,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,24,2025-11-17 12:54:52,2025-11-17 13:05:34,100,0,642,642,6.42,8923,91166,100089,141.9,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,25,2025-11-17 13:35:34,2025-11-17 13:46:19,100,0,645,645,6.46,8923,91255,100178,141.3,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,26,2025-11-17 14:16:20,2025-11-17 14:27:32,100,0,672,672,6.73,8923,94570,103493,140.6,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,27,2025-11-17 14:57:33,2025-11-17 15:09:03,100,0,690,690,6.91,8923,101547,110470,147.0,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,28,2025-11-17 15:39:04,2025-11-17 15:49:33,100,0,629,629,6.30,8923,93124,102047,147.8,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,29,2025-11-17 16:19:34,2025-11-17 16:31:02,100,0,688,688,6.89,8923,103060,111983,149.7,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,30,2025-11-17 17:01:02,2025-11-17 17:12:03,100,0,661,661,6.61,8923,94522,103445,142.9,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,31,2025-11-17 17:42:04,2025-11-17 17:52:59,100,0,655,655,6.56,8923,97619,106542,148.9,open-mistral-7b_scheduled2_2306547.out
