Type,Model,GPU,Run,Metric,Value
API,llama-3.1-8b-instant,N/A,1,CO2eq,0.0
API,llama-3.1-8b-instant,N/A,2,CO2eq,0.0
API,llama-3.1-8b-instant,N/A,3,CO2eq,0.0
API,llama-3.1-8b-instant,N/A,4,CO2eq,0.0
API,llama-3.1-8b-instant,N/A,5,CO2eq,0.0
API,llama-3.1-8b-instant,N/A,6,CO2eq,0.0
API,llama-3.1-8b-instant,N/A,7,CO2eq,0.0
API,llama-3.1-8b-instant,N/A,8,CO2eq,0.0
API,llama-3.1-8b-instant,N/A,9,CO2eq,0.0
API,llama-3.1-8b-instant,N/A,10,CO2eq,0.0
API,llama-3.1-8b-instant,N/A,11,CO2eq,0.0
API,llama-3.1-8b-instant,N/A,12,CO2eq,0.0
API,llama-3.1-8b-instant,N/A,13,CO2eq,0.0
API,llama-3.1-8b-instant,N/A,14,CO2eq,0.0
API,llama-3.1-8b-instant,N/A,15,CO2eq,0.0
API,llama-3.1-8b-instant,N/A,16,CO2eq,0.0
API,llama-3.1-8b-instant,N/A,17,CO2eq,0.0
API,llama-3.1-8b-instant,N/A,18,CO2eq,0.0
API,llama-3.1-8b-instant,N/A,19,CO2eq,0.0
API,llama-3.1-8b-instant,N/A,20,CO2eq,0.0
API,llama-3.1-8b-instant,N/A,21,CO2eq,0.0
API,llama-3.1-8b-instant,N/A,22,CO2eq,0.0
API,llama-3.1-8b-instant,N/A,23,CO2eq,0.0
API,llama-3.1-8b-instant,N/A,24,CO2eq,0.0
API,llama-3.1-8b-instant,N/A,25,CO2eq,0.0
API,llama-3.1-8b-instant,N/A,26,CO2eq,0.0
API,llama-3.1-8b-instant,N/A,27,CO2eq,0.0
API,llama-3.1-8b-instant,N/A,28,CO2eq,0.0
API,llama-3.1-8b-instant,N/A,29,CO2eq,0.0
API,llama-3.1-8b-instant,N/A,30,CO2eq,0.0
API,llama-3.1-8b-instant,N/A,1,Distance,0.0
API,llama-3.1-8b-instant,N/A,2,Distance,0.0
API,llama-3.1-8b-instant,N/A,3,Distance,0.0
API,llama-3.1-8b-instant,N/A,4,Distance,0.0
API,llama-3.1-8b-instant,N/A,5,Distance,0.0
API,llama-3.1-8b-instant,N/A,6,Distance,0.0
API,llama-3.1-8b-instant,N/A,7,Distance,0.0
API,llama-3.1-8b-instant,N/A,8,Distance,0.0
API,llama-3.1-8b-instant,N/A,9,Distance,0.0
API,llama-3.1-8b-instant,N/A,10,Distance,0.0
API,llama-3.1-8b-instant,N/A,11,Distance,0.0
API,llama-3.1-8b-instant,N/A,12,Distance,0.0
API,llama-3.1-8b-instant,N/A,13,Distance,0.0
API,llama-3.1-8b-instant,N/A,14,Distance,0.0
API,llama-3.1-8b-instant,N/A,15,Distance,0.0
API,llama-3.1-8b-instant,N/A,16,Distance,0.0
API,llama-3.1-8b-instant,N/A,17,Distance,0.0
API,llama-3.1-8b-instant,N/A,18,Distance,0.0
API,llama-3.1-8b-instant,N/A,19,Distance,0.0
API,llama-3.1-8b-instant,N/A,20,Distance,0.0
API,llama-3.1-8b-instant,N/A,21,Distance,0.0
API,llama-3.1-8b-instant,N/A,22,Distance,0.0
API,llama-3.1-8b-instant,N/A,23,Distance,0.0
API,llama-3.1-8b-instant,N/A,24,Distance,0.0
API,llama-3.1-8b-instant,N/A,25,Distance,0.0
API,llama-3.1-8b-instant,N/A,26,Distance,0.0
API,llama-3.1-8b-instant,N/A,27,Distance,0.0
API,llama-3.1-8b-instant,N/A,28,Distance,0.0
API,llama-3.1-8b-instant,N/A,29,Distance,0.0
API,llama-3.1-8b-instant,N/A,30,Distance,0.0
API,llama-3.1-8b-instant,N/A,1,Energy,0.0
API,llama-3.1-8b-instant,N/A,2,Energy,0.0
API,llama-3.1-8b-instant,N/A,3,Energy,0.0
API,llama-3.1-8b-instant,N/A,4,Energy,0.0
