Type,Model,GPU,Run,Metric,Value
Local,Llama-3.1-8B,H100,1,CO2eq,172.813231
Local,Llama-3.1-8B,H100,2,CO2eq,173.945167
Local,Llama-3.1-8B,H100,3,CO2eq,195.244559
Local,Llama-3.1-8B,H100,4,CO2eq,203.469731
Local,Llama-3.1-8B,H100,5,CO2eq,184.027016
Local,Llama-3.1-8B,H100,6,CO2eq,195.334424
Local,Llama-3.1-8B,H100,7,CO2eq,211.311521
Local,Llama-3.1-8B,H100,8,CO2eq,174.105113
Local,Llama-3.1-8B,H100,9,CO2eq,173.159998
Local,Llama-3.1-8B,H100,10,CO2eq,254.611602
Local,Llama-3.1-8B,H100,1,Distance,1.607565
Local,Llama-3.1-8B,H100,2,Distance,1.618095
Local,Llama-3.1-8B,H100,3,Distance,1.816228
Local,Llama-3.1-8B,H100,4,Distance,1.892742
Local,Llama-3.1-8B,H100,5,Distance,1.711879
Local,Llama-3.1-8B,H100,6,Distance,1.817064
Local,Llama-3.1-8B,H100,7,Distance,1.965689
Local,Llama-3.1-8B,H100,8,Distance,1.619582
Local,Llama-3.1-8B,H100,9,Distance,1.610791
Local,Llama-3.1-8B,H100,10,Distance,2.36848
Local,Llama-3.1-8B,H100,1,Energy,0.453637
Local,Llama-3.1-8B,H100,2,Energy,0.456608
Local,Llama-3.1-8B,H100,3,Energy,0.51252
Local,Llama-3.1-8B,H100,4,Energy,0.534111
Local,Llama-3.1-8B,H100,5,Energy,0.483073
Local,Llama-3.1-8B,H100,6,Energy,0.512755
Local,Llama-3.1-8B,H100,7,Energy,0.554696
Local,Llama-3.1-8B,H100,8,Energy,0.457028
Local,Llama-3.1-8B,H100,9,Energy,0.454547
Local,Llama-3.1-8B,H100,10,Energy,0.668359
Local,Llama-3.1-8B,H100,1,Time,00:34:55
Local,Llama-3.1-8B,H100,2,Time,00:33:51
Local,Llama-3.1-8B,H100,3,Time,00:38:48
Local,Llama-3.1-8B,H100,4,Time,00:41:54
Local,Llama-3.1-8B,H100,5,Time,00:36:55
Local,Llama-3.1-8B,H100,6,Time,00:36:41
Local,Llama-3.1-8B,H100,7,Time,00:42:22
Local,Llama-3.1-8B,H100,8,Time,00:35:37
Local,Llama-3.1-8B,H100,9,Time,00:35:11
Local,Llama-3.1-8B,H100,10,Time,00:50:47
Local,Llama-3.1-8B,H100-PCI,1,CO2eq,147.978712
Local,Llama-3.1-8B,H100-PCI,2,CO2eq,138.005788
Local,Llama-3.1-8B,H100-PCI,3,CO2eq,160.385244
Local,Llama-3.1-8B,H100-PCI,4,CO2eq,173.051238
Local,Llama-3.1-8B,H100-PCI,5,CO2eq,145.537294
Local,Llama-3.1-8B,H100-PCI,6,CO2eq,155.542452
Local,Llama-3.1-8B,H100-PCI,7,CO2eq,173.35019
Local,Llama-3.1-8B,H100-PCI,8,CO2eq,146.267217
Local,Llama-3.1-8B,H100-PCI,9,CO2eq,150.823979
Local,Llama-3.1-8B,H100-PCI,10,CO2eq,212.07735
Local,Llama-3.1-8B,H100-PCI,1,Distance,1.376546
Local,Llama-3.1-8B,H100-PCI,2,Distance,1.283775
Local,Llama-3.1-8B,H100-PCI,3,Distance,1.491956
Local,Llama-3.1-8B,H100-PCI,4,Distance,1.609779
Local,Llama-3.1-8B,H100-PCI,5,Distance,1.353835
Local,Llama-3.1-8B,H100-PCI,6,Distance,1.446907
Local,Llama-3.1-8B,H100-PCI,7,Distance,1.61256
Local,Llama-3.1-8B,H100-PCI,8,Distance,1.360625
