Type,Model,GPU,Run,Metric,Value
API,open-mistral-7b,N/A,1,CO2eq,0.0
API,open-mistral-7b,N/A,2,CO2eq,0.0
API,open-mistral-7b,N/A,3,CO2eq,0.0
API,open-mistral-7b,N/A,4,CO2eq,0.0
API,open-mistral-7b,N/A,5,CO2eq,0.0
API,open-mistral-7b,N/A,6,CO2eq,0.0
API,open-mistral-7b,N/A,7,CO2eq,0.0
API,open-mistral-7b,N/A,8,CO2eq,0.0
API,open-mistral-7b,N/A,9,CO2eq,0.0
API,open-mistral-7b,N/A,10,CO2eq,0.0
API,open-mistral-7b,N/A,1,Distance,0.0
API,open-mistral-7b,N/A,2,Distance,0.0
API,open-mistral-7b,N/A,3,Distance,0.0
API,open-mistral-7b,N/A,4,Distance,0.0
API,open-mistral-7b,N/A,5,Distance,0.0
API,open-mistral-7b,N/A,6,Distance,0.0
API,open-mistral-7b,N/A,7,Distance,0.0
API,open-mistral-7b,N/A,8,Distance,0.0
API,open-mistral-7b,N/A,9,Distance,0.0
API,open-mistral-7b,N/A,10,Distance,0.0
API,open-mistral-7b,N/A,1,Energy,0.0
API,open-mistral-7b,N/A,2,Energy,0.0
API,open-mistral-7b,N/A,3,Energy,0.0
API,open-mistral-7b,N/A,4,Energy,0.0
API,open-mistral-7b,N/A,5,Energy,0.0
API,open-mistral-7b,N/A,6,Energy,0.0
API,open-mistral-7b,N/A,7,Energy,0.0
API,open-mistral-7b,N/A,8,Energy,0.0
API,open-mistral-7b,N/A,9,Energy,0.0
API,open-mistral-7b,N/A,10,Energy,0.0
API,open-mistral-7b,N/A,1,Time,00:12:30
API,open-mistral-7b,N/A,2,Time,00:11:19
API,open-mistral-7b,N/A,3,Time,00:11:15
API,open-mistral-7b,N/A,4,Time,00:13:41
API,open-mistral-7b,N/A,5,Time,00:12:01
API,open-mistral-7b,N/A,6,Time,00:11:25
API,open-mistral-7b,N/A,7,Time,00:11:31
API,open-mistral-7b,N/A,8,Time,00:11:54
API,open-mistral-7b,N/A,9,Time,00:11:46
API,open-mistral-7b,N/A,10,Time,00:12:14
API,open-mistral-nemo,N/A,1,CO2eq,0.0
API,open-mistral-nemo,N/A,2,CO2eq,0.0
API,open-mistral-nemo,N/A,3,CO2eq,0.0
API,open-mistral-nemo,N/A,4,CO2eq,0.0
API,open-mistral-nemo,N/A,5,CO2eq,0.0
API,open-mistral-nemo,N/A,6,CO2eq,0.0
API,open-mistral-nemo,N/A,7,CO2eq,0.0
API,open-mistral-nemo,N/A,8,CO2eq,0.0
API,open-mistral-nemo,N/A,9,CO2eq,0.0
API,open-mistral-nemo,N/A,10,CO2eq,0.0
API,open-mistral-nemo,N/A,1,Distance,0.0
API,open-mistral-nemo,N/A,2,Distance,0.0
API,open-mistral-nemo,N/A,3,Distance,0.0
API,open-mistral-nemo,N/A,4,Distance,0.0
API,open-mistral-nemo,N/A,5,Distance,0.0
API,open-mistral-nemo,N/A,6,Distance,0.0
API,open-mistral-nemo,N/A,7,Distance,0.0
API,open-mistral-nemo,N/A,8,Distance,0.0
API,open-mistral-nemo,N/A,9,Distance,0.0
API,open-mistral-nemo,N/A,10,Distance,0.0
API,open-mistral-nemo,N/A,1,Energy,0.0
API,open-mistral-nemo,N/A,2,Energy,0.0
API,open-mistral-nemo,N/A,3,Energy,0.0
API,open-mistral-nemo,N/A,4,Energy,0.0
API,open-mistral-nemo,N/A,5,Energy,0.0
API,open-mistral-nemo,N/A,6,Energy,0.0
API,open-mistral-nemo,N/A,7,Energy,0.0
API,open-mistral-nemo,N/A,8,Energy,0.0
API,open-mistral-nemo,N/A,9,Energy,0.0
API,open-mistral-nemo,N/A,10,Energy,0.0
API,open-mistral-nemo,N/A,1,Time,00:22:28
API,open-mistral-nemo,N/A,2,Time,00:24:24
API,open-mistral-nemo,N/A,3,Time,00:24:23
API,open-mistral-nemo,N/A,4,Time,00:22:13
API,open-mistral-nemo,N/A,5,Time,00:23:39
API,open-mistral-nemo,N/A,6,Time,00:17:53
API,open-mistral-nemo,N/A,7,Time,00:19:10
API,open-mistral-nemo,N/A,8,Time,00:19:06
API,open-mistral-nemo,N/A,9,Time,00:18:28
API,open-mistral-nemo,N/A,10,Time,00:18:11
API,pixtral-12b-2409,N/A,1,CO2eq,0.0
