Type,Model,GPU,Run,Metric,Value
Paid-API,open-mistral-7b,N/A,1,CO2eq,0.0
Paid-API,open-mistral-7b,N/A,2,CO2eq,0.0
Paid-API,open-mistral-7b,N/A,3,CO2eq,0.0
Paid-API,open-mistral-7b,N/A,4,CO2eq,0.0
Paid-API,open-mistral-7b,N/A,5,CO2eq,0.0
Paid-API,open-mistral-7b,N/A,6,CO2eq,0.0
Paid-API,open-mistral-7b,N/A,7,CO2eq,0.0
Paid-API,open-mistral-7b,N/A,8,CO2eq,0.0
Paid-API,open-mistral-7b,N/A,9,CO2eq,0.0
Paid-API,open-mistral-7b,N/A,10,CO2eq,0.0
Paid-API,open-mistral-7b,N/A,1,Distance,0.0
Paid-API,open-mistral-7b,N/A,2,Distance,0.0
Paid-API,open-mistral-7b,N/A,3,Distance,0.0
Paid-API,open-mistral-7b,N/A,4,Distance,0.0
Paid-API,open-mistral-7b,N/A,5,Distance,0.0
Paid-API,open-mistral-7b,N/A,6,Distance,0.0
Paid-API,open-mistral-7b,N/A,7,Distance,0.0
Paid-API,open-mistral-7b,N/A,8,Distance,0.0
Paid-API,open-mistral-7b,N/A,9,Distance,0.0
Paid-API,open-mistral-7b,N/A,10,Distance,0.0
Paid-API,open-mistral-7b,N/A,1,Energy,0.0
Paid-API,open-mistral-7b,N/A,2,Energy,0.0
Paid-API,open-mistral-7b,N/A,3,Energy,0.0
Paid-API,open-mistral-7b,N/A,4,Energy,0.0
Paid-API,open-mistral-7b,N/A,5,Energy,0.0
Paid-API,open-mistral-7b,N/A,6,Energy,0.0
Paid-API,open-mistral-7b,N/A,7,Energy,0.0
Paid-API,open-mistral-7b,N/A,8,Energy,0.0
Paid-API,open-mistral-7b,N/A,9,Energy,0.0
Paid-API,open-mistral-7b,N/A,10,Energy,0.0
Paid-API,open-mistral-7b,N/A,1,Time,00:12:57
Paid-API,open-mistral-7b,N/A,2,Time,00:12:07
Paid-API,open-mistral-7b,N/A,3,Time,00:11:47
Paid-API,open-mistral-7b,N/A,4,Time,00:12:28
Paid-API,open-mistral-7b,N/A,5,Time,00:11:39
Paid-API,open-mistral-7b,N/A,6,Time,00:12:26
Paid-API,open-mistral-7b,N/A,7,Time,00:12:06
Paid-API,open-mistral-7b,N/A,8,Time,00:12:33
Paid-API,open-mistral-7b,N/A,9,Time,00:11:46
Paid-API,open-mistral-7b,N/A,10,Time,00:11:24
Paid-API,open-mistral-nemo,N/A,1,CO2eq,0.0
Paid-API,open-mistral-nemo,N/A,2,CO2eq,0.0
Paid-API,open-mistral-nemo,N/A,3,CO2eq,0.0
Paid-API,open-mistral-nemo,N/A,4,CO2eq,0.0
Paid-API,open-mistral-nemo,N/A,5,CO2eq,0.0
Paid-API,open-mistral-nemo,N/A,6,CO2eq,0.0
Paid-API,open-mistral-nemo,N/A,7,CO2eq,0.0
Paid-API,open-mistral-nemo,N/A,8,CO2eq,0.0
Paid-API,open-mistral-nemo,N/A,9,CO2eq,0.0
Paid-API,open-mistral-nemo,N/A,10,CO2eq,0.0
Paid-API,open-mistral-nemo,N/A,1,Distance,0.0
Paid-API,open-mistral-nemo,N/A,2,Distance,0.0
Paid-API,open-mistral-nemo,N/A,3,Distance,0.0
Paid-API,open-mistral-nemo,N/A,4,Distance,0.0
Paid-API,open-mistral-nemo,N/A,5,Distance,0.0
Paid-API,open-mistral-nemo,N/A,6,Distance,0.0
Paid-API,open-mistral-nemo,N/A,7,Distance,0.0
Paid-API,open-mistral-nemo,N/A,8,Distance,0.0
Paid-API,open-mistral-nemo,N/A,9,Distance,0.0
Paid-API,open-mistral-nemo,N/A,10,Distance,0.0
Paid-API,open-mistral-nemo,N/A,1,Energy,0.0
Paid-API,open-mistral-nemo,N/A,2,Energy,0.0
Paid-API,open-mistral-nemo,N/A,3,Energy,0.0
Paid-API,open-mistral-nemo,N/A,4,Energy,0.0
Paid-API,open-mistral-nemo,N/A,5,Energy,0.0
Paid-API,open-mistral-nemo,N/A,6,Energy,0.0
Paid-API,open-mistral-nemo,N/A,7,Energy,0.0
Paid-API,open-mistral-nemo,N/A,8,Energy,0.0
Paid-API,open-mistral-nemo,N/A,9,Energy,0.0
Paid-API,open-mistral-nemo,N/A,10,Energy,0.0
Paid-API,open-mistral-nemo,N/A,1,Time,00:18:50
Paid-API,open-mistral-nemo,N/A,2,Time,00:19:22
Paid-API,open-mistral-nemo,N/A,3,Time,00:19:25
Paid-API,open-mistral-nemo,N/A,4,Time,00:19:19
Paid-API,open-mistral-nemo,N/A,5,Time,00:19:35
Paid-API,open-mistral-nemo,N/A,6,Time,00:18:20
Paid-API,open-mistral-nemo,N/A,7,Time,00:19:50
Paid-API,open-mistral-nemo,N/A,8,Time,00:18:46
Paid-API,open-mistral-nemo,N/A,9,Time,00:19:59
Paid-API,open-mistral-nemo,N/A,10,Time,00:19:41
