Type,Model,GPU,Run,Metric,Value
API,gpt-3.5-turbo,N/A,1,CO2eq,0.0
API,gpt-3.5-turbo,N/A,2,CO2eq,0.0
API,gpt-3.5-turbo,N/A,3,CO2eq,0.0
API,gpt-3.5-turbo,N/A,4,CO2eq,0.0
API,gpt-3.5-turbo,N/A,5,CO2eq,0.0
API,gpt-3.5-turbo,N/A,6,CO2eq,0.0
API,gpt-3.5-turbo,N/A,7,CO2eq,0.0
API,gpt-3.5-turbo,N/A,8,CO2eq,0.0
API,gpt-3.5-turbo,N/A,9,CO2eq,0.0
API,gpt-3.5-turbo,N/A,10,CO2eq,0.0
API,gpt-3.5-turbo,N/A,1,Distance,0.0
API,gpt-3.5-turbo,N/A,2,Distance,0.0
API,gpt-3.5-turbo,N/A,3,Distance,0.0
API,gpt-3.5-turbo,N/A,4,Distance,0.0
API,gpt-3.5-turbo,N/A,5,Distance,0.0
API,gpt-3.5-turbo,N/A,6,Distance,0.0
API,gpt-3.5-turbo,N/A,7,Distance,0.0
API,gpt-3.5-turbo,N/A,8,Distance,0.0
API,gpt-3.5-turbo,N/A,9,Distance,0.0
API,gpt-3.5-turbo,N/A,10,Distance,0.0
API,gpt-3.5-turbo,N/A,1,Energy,0.0
API,gpt-3.5-turbo,N/A,2,Energy,0.0
API,gpt-3.5-turbo,N/A,3,Energy,0.0
API,gpt-3.5-turbo,N/A,4,Energy,0.0
API,gpt-3.5-turbo,N/A,5,Energy,0.0
API,gpt-3.5-turbo,N/A,6,Energy,0.0
API,gpt-3.5-turbo,N/A,7,Energy,0.0
API,gpt-3.5-turbo,N/A,8,Energy,0.0
API,gpt-3.5-turbo,N/A,9,Energy,0.0
API,gpt-3.5-turbo,N/A,10,Energy,0.0
API,gpt-3.5-turbo,N/A,1,Time,00:03:05
API,gpt-3.5-turbo,N/A,2,Time,00:04:03
API,gpt-3.5-turbo,N/A,3,Time,00:03:03
API,gpt-3.5-turbo,N/A,4,Time,00:03:03
API,gpt-3.5-turbo,N/A,5,Time,00:03:03
API,gpt-3.5-turbo,N/A,6,Time,00:03:04
API,gpt-3.5-turbo,N/A,7,Time,00:19:07
API,gpt-3.5-turbo,N/A,8,Time,00:04:03
API,gpt-3.5-turbo,N/A,9,Time,00:04:03
API,gpt-3.5-turbo,N/A,10,Time,00:03:04
API,gpt-4-turbo,N/A,1,CO2eq,0.0
API,gpt-4-turbo,N/A,2,CO2eq,0.0
